Month Name,Month,Year,Query Count,Query Text,Month Num,Rank,Volume,Volume #,,,,,,,,
July,7,2021,9,2005ud009012,7,1,Low <50,39451,,,,43678/5,,,,
July,7,2021,20,2021 pay plan,7,2,Medium 50-100,2963,,,,Max queries:,5610,9-Sep-19,test,school relation?
July,7,2021,10,2021COD-002-001,7,3,High >100,1262,,,,Year is number:,TRUE,,,
July,7,2021,8,2022 budget,7,4,,,,,,Query count is number:,TRUE,,,
July,7,2021,11,2022 pay plan,7,5,,,,,,,Count,Sum,Average,Max
July,7,2021,8,21-0371054,7,6,,,,,,Map searches:,142,13561,95.5,351
July,7,2021,8,"2521 Gallatin Ave., Nashville, TN 37206",7,7,,,,,,All query counts over 100:,1262,,,
July,7,2021,10,901 allen rd 37214,7,8,,,,,,Query for codes over 100 times:,156,,,
July,7,2021,12,9025 Hester beasley rd Nashville tn,7,9,,,,,,Month Name,Month Number,,,
July,7,2021,8,accident,7,10,,,,,,January,1,,,
July,7,2021,109,accident report,7,11,,,,,,February,2,,,
July,7,2021,37,Accident Reports,7,12,,,,,,March,3,,,
July,7,2021,10,accidents,7,13,,,,,,April,4,,,
July,7,2021,9,airport overlay district,7,14,,,,,,May,5,,,
July,7,2021,11,alarm registration,7,15,,,,,,June,6,,,
July,7,2021,9,American Rescue Plan,7,16,,,,,,July,7,,,
July,7,2021,13,Animal control,7,17,,,,,,August,8,,,
July,7,2021,8,Appliance disposal,7,18,,,,,,September,9,,,
July,7,2021,15,application,7,19,,,,,,October,10,,,
July,7,2021,15,archives,7,20,,,,,,November,11,,,
July,7,2021,8,arrest,7,21,,,,,,December,12,,,
July,7,2021,15,arrest records,7,21,,,,,,,,,,
July,7,2021,23,Arrests,7,23,,,,,,,,,,
July,7,2021,20,assessor,7,23,,,,,,Fairgrounds July 2018:,21,,,
July,7,2021,21,assessor of property,7,25,,,,,,Fire Max Month 2016,August #47,,,
July,7,2021,50,assessor of property/webpro,7,26,,,,,,,,,,
July,7,2021,12,assisted living,7,27,,,,,,,,,,
July,7,2021,17,Auction,7,28,,,,,,,,,,
July,7,2021,32,auto license renewal,7,29,,,,,,,,,,
July,7,2021,9,backflow,7,30,,,,,,,,,,
July,7,2021,14,background check,7,30,,,,,,,,,,
July,7,2021,34,banner,7,32,,,,,,,,,,
July,7,2021,48,beer board,7,33,,,,,,,,,,
July,7,2021,14,Benefit Board,7,34,,,,,,,,,,
July,7,2021,41,benefits,7,35,,,,,,,,,,
July,7,2021,9,bereavement,7,36,,,,,,,,,,
July,7,2021,41,BID,7,36,,,,,,,,,,
July,7,2021,23,bids,7,38,,,,,,,,,,
July,7,2021,21,Big band dance,7,39,,,,,,,,,,
July,7,2021,11,bill,7,40,,,,,,,,,,
July,7,2021,15,bill pay,7,41,,,,,,,,,,
July,7,2021,101,Birth certificate,7,42,,,,,,,,,,
July,7,2021,17,birth certificates,7,42,,,,,,,,,,
July,7,2021,8,Birth control,7,44,,,,,,,,,,
July,7,2021,11,BL2021-821,7,45,,,,,,,,,,
July,7,2021,8,Bl2021-831,7,46,,,,,,,,,,
July,7,2021,35,bond,7,47,,,,,,,,,,
July,7,2021,27,brush,7,48,,,,,,,,,,
July,7,2021,28,Brush pick up,7,49,,,,,,,,,,
July,7,2021,20,Brush pickup,7,50,,,,,,,,,,
July,7,2021,25,Budget,7,51,,,,,,,,,,
July,7,2021,10,building,7,52,,,,,,,,,,
July,7,2021,10,BUILDING CODE,7,53,,,,,,,,,,
July,7,2021,26,building codes,7,54,,,,,,,,,,
July,7,2021,43,building permit,7,55,,,,,,,,,,
July,7,2021,19,building permits,7,55,,,,,,,,,,
July,7,2021,12,Bulk,7,55,,,,,,,,,,
July,7,2021,8,bulk collection,7,55,,,,,,,,,,
July,7,2021,8,bulk item,7,59,,,,,,,,,,
July,7,2021,9,Bulk item pick up,7,60,,,,,,,,,,
July,7,2021,18,Bulk Item pickup,7,61,,,,,,,,,,
July,7,2021,12,bulk pickup,7,62,,,,,,,,,,
July,7,2021,130,business license,7,63,,,,,,,,,,
July,7,2021,9,business tax,7,63,,,,,,,,,,
July,7,2021,12,calendar,7,65,,,,,,,,,,
July,7,2021,10,Car registration,7,65,,,,,,,,,,
July,7,2021,16,Career,7,67,,,,,,,,,,
July,7,2021,75,careers,7,68,,,,,,,,,,
July,7,2021,9,Case 2021COD-002-001,7,69,,,,,,,,,,
July,7,2021,14,case number,7,70,,,,,,,,,,
July,7,2021,19,centennial park,7,71,,,,,,,,,,
July,7,2021,15,Central records,7,71,,,,,,,,,,
July,7,2021,10,Central records division,7,73,,,,,,,,,,
July,7,2021,11,Central referral,7,74,,,,,,,,,,
July,7,2021,65,certificate of occupancy,7,75,,,,,,,,,,
July,7,2021,9,change of address,7,75,,,,,,,,,,
July,7,2021,50,charter,7,77,,,,,,,,,,
July,7,2021,47,citation,7,78,,,,,,,,,,
July,7,2021,8,citizens information notice,7,79,,,,,,,,,,
July,7,2021,67,civil service,7,80,,,,,,,,,,
July,7,2021,9,civil service commission,7,81,,,,,,,,,,
July,7,2021,75,civil service rules,7,81,,,,,,,,,,
July,7,2021,14,classes,7,83,,,,,,,,,,
July,7,2021,11,clerk,7,84,,,,,,,,,,
July,7,2021,10,clerk and master,7,84,,,,,,,,,,
July,7,2021,114,codes,7,84,,,,,,,,,,
July,7,2021,8,codes violations,7,87,,,,,,,,,,
July,7,2021,9,Columbia MURAY,7,87,,,,,,,,,,
July,7,2021,13,community center,7,89,,,,,,,,,,
July,7,2021,28,community education,7,90,,,,,,,,,,
July,7,2021,14,complaint,7,91,,,,,,,,,,
July,7,2021,12,compost,7,92,,,,,,,,,,
July,7,2021,13,Contact,7,93,,,,,,,,,,
July,7,2021,14,contract search,7,93,,,,,,,,,,
July,7,2021,13,contracts,7,95,,,,,,,,,,
July,7,2021,56,Convenience center,7,95,,,,,,,,,,
July,7,2021,30,CONVENIENCE CENTERS,7,95,,,,,,,,,,
July,7,2021,8,copy of police report,7,98,,,,,,,,,,
July,7,2021,10,council,7,98,,,,,,,,,,
July,7,2021,11,council members,7,98,,,,,,,,,,
July,7,2021,20,county clerk,7,101,,,,,,,,,,
July,7,2021,23,courts,7,102,,,,,,,,,,
July,7,2021,29,covid,7,102,,,,,,,,,,
July,7,2021,12,covid testing,7,104,,,,,,,,,,
July,7,2021,28,crash report,7,104,,,,,,,,,,
July,7,2021,19,crash reports,7,104,,,,,,,,,,
July,7,2021,12,crashdocs,7,107,,,,,,,,,,
July,7,2021,16,crashdocs.org,7,107,,,,,,,,,,
July,7,2021,10,Crime,7,109,,,,,,,,,,
July,7,2021,25,crime map,7,110,,,,,,,,,,
July,7,2021,10,crime mapping,7,111,,,,,,,,,,
July,7,2021,11,Criminal court,7,112,,,,,,,,,,
July,7,2021,38,Criminal court clerk,7,112,,,,,,,,,,
July,7,2021,45,criminal records,7,114,,,,,,,,,,
July,7,2021,21,Cumberland park,7,115,,,,,,,,,,
July,7,2021,8,Curbside recycling,7,115,,,,,,,,,,
July,7,2021,19,curfew,7,115,,,,,,,,,,
July,7,2021,16,DADU,7,118,,,,,,,,,,
July,7,2021,22,daily report,7,118,,,,,,,,,,
July,7,2021,8,daniel hale,7,118,,,,,,,,,,
July,7,2021,12,Davidson County Clerk,7,121,,,,,,,,,,
July,7,2021,9,Dcso,7,121,,,,,,,,,,
July,7,2021,11,Death certificate,7,121,,,,,,,,,,
July,7,2021,12,deed,7,124,,,,,,,,,,
July,7,2021,34,Deeds,7,124,,,,,,,,,,
July,7,2021,18,demolition permit,7,126,,,,,,,,,,
July,7,2021,8,Dental,7,127,,,,,,,,,,
July,7,2021,15,development tracker,7,127,,,,,,,,,,
July,7,2021,69,directory,7,127,,,,,,,,,,
July,7,2021,8,Dispatch,7,130,,,,,,,,,,
July,7,2021,36,divorce,7,130,,,,,,,,,,
July,7,2021,10,divorce records,7,130,,,,,,,,,,
July,7,2021,77,DMV,7,133,,,,,,,,,,
July,7,2021,10,Dogs,7,133,,,,,,,,,,
July,7,2021,12,DONEGAN,7,133,,,,,,,,,,
July,7,2021,13,drone,7,136,,,,,,,,,,
July,7,2021,9,drug task force,7,136,,,,,,,,,,
July,7,2021,28,Dump,7,136,,,,,,,,,,
July,7,2021,14,e 911,7,139,,,,,,,,,,
July,7,2021,38,e permits,7,140,,,,,,,,,,
July,7,2021,13,eap,7,141,,,,,,,,,,
July,7,2021,85,ebid,7,141,,,,,,,,,,
July,7,2021,44,education,7,143,,,,,,,,,,
July,7,2021,10,election,7,144,,,,,,,,,,
July,7,2021,36,Election commission,7,145,,,,,,,,,,
July,7,2021,8,Elections,7,145,,,,,,,,,,
July,7,2021,64,email,7,145,,,,,,,,,,
July,7,2021,8,Emissions,7,148,,,,,,,,,,
July,7,2021,13,emissions testing,7,148,,,,,,,,,,
July,7,2021,16,employee,7,148,,,,,,,,,,
July,7,2021,11,employee pay,7,151,,,,,,,,,,
July,7,2021,14,employee salaries,7,151,,,,,,,,,,
July,7,2021,9,employee self,7,151,,,,,,,,,,
July,7,2021,132,employee self service,7,151,,,,,,,,,,
July,7,2021,105,employment,7,155,,,,,,,,,,
July,7,2021,10,epav,7,155,,,,,,,,,,
July,7,2021,18,epermit,7,157,,,,,,,,,,
July,7,2021,34,epermits,7,158,,,,,,,,,,
July,7,2021,31,E-Permits,7,158,,,,,,,,,,
July,7,2021,38,erosion control,7,158,,,,,,,,,,
July,7,2021,125,ess,7,161,,,,,,,,,,
July,7,2021,14,ESS Payroll,7,162,,,,,,,,,,
July,7,2021,10,events,7,162,,,,,,,,,,
July,7,2021,16,fee calculator,7,162,,,,,,,,,,
July,7,2021,10,fee schedule,7,165,,,,,,,,,,
July,7,2021,8,File accident report,7,166,,,,,,,,,,
July,7,2021,18,File police report,7,167,,,,,,,,,,
July,7,2021,54,finance,7,167,,,,,,,,,,
July,7,2021,17,fingerprint,7,167,,,,,,,,,,
July,7,2021,15,Fire,7,167,,,,,,,,,,
July,7,2021,8,Fire academy,7,171,,,,,,,,,,
July,7,2021,19,fire department,7,171,,,,,,,,,,
July,7,2021,9,fire marshal,7,171,,,,,,,,,,
July,7,2021,25,Fireworks,7,174,,,,,,,,,,
July,7,2021,21,FMLA,7,174,,,,,,,,,,
July,7,2021,9,FOIA,7,174,,,,,,,,,,
July,7,2021,26,forms,7,174,,,,,,,,,,
July,7,2021,36,free shredding,7,174,,,,,,,,,,
July,7,2021,22,Garbage,7,174,,,,,,,,,,
July,7,2021,9,garbage collection,7,180,,,,,,,,,,
July,7,2021,13,Garbage pick up,7,181,,,,,,,,,,
July,7,2021,13,Garbage pickup,7,181,,,,,,,,,,
July,7,2021,11,general services,7,181,,,,,,,,,,
July,7,2021,9,General sessions,7,181,,,,,,,,,,
July,7,2021,114,GIS,7,185,,,,,,,,,,
July,7,2021,16,Golf,7,185,,,,,,,,,,
July,7,2021,9,grading permit,7,185,,,,,,,,,,
July,7,2021,30,grading permits,7,185,,,,,,,,,,
July,7,2021,14,grants,7,189,,,,,,,,,,
July,7,2021,16,Greeno,7,189,,,,,,,,,,
July,7,2021,8,head start,7,189,,,,,,,,,,
July,7,2021,24,health department,7,189,,,,,,,,,,
July,7,2021,12,health policy plan,7,193,,,,,,,,,,
July,7,2021,9,Hermitage Community Center,7,194,,,,,,,,,,
July,7,2021,9,Hit and run,7,194,,,,,,,,,,
July,7,2021,33,holiday,7,194,,,,,,,,,,
July,7,2021,9,Holiday calendar,7,197,,,,,,,,,,
July,7,2021,16,Holiday schedule,7,197,,,,,,,,,,
July,7,2021,75,holidays,7,197,,,,,,,,,,
July,7,2021,12,homeless,7,197,,,,,,,,,,
July,7,2021,8,homeless rest stops,7,201,,,,,,,,,,
July,7,2021,31,Hope,7,201,,,,,,,,,,
July,7,2021,11,hope application,7,201,,,,,,,,,,
July,7,2021,34,hope program,7,201,,,,,,,,,,
July,7,2021,13,Housing,7,205,,,,,,,,,,
July,7,2021,91,hr,7,205,,,,,,,,,,
July,7,2021,32,hub,7,205,,,,,,,,,,
July,7,2021,15,hub nashville,7,205,,,,,,,,,,
July,7,2021,10,human resource,7,209,,,,,,,,,,
July,7,2021,224,human resources,7,209,,,,,,,,,,
July,7,2021,41,im,7,209,,,,,,,,,,
July,7,2021,12,immunization,7,209,,,,,,,,,,
July,7,2021,14,Immunization records,7,209,,,,,,,,,,
July,7,2021,27,Incident report,7,209,,,,,,,,,,
July,7,2021,11,incident reports,7,215,,,,,,,,,,
July,7,2021,15,Inmate,7,215,,,,,,,,,,
July,7,2021,27,inmate commissary,7,215,,,,,,,,,,
July,7,2021,23,inmate locator,7,215,,,,,,,,,,
July,7,2021,39,inmate search,7,215,,,,,,,,,,
July,7,2021,10,Inmates,7,215,,,,,,,,,,
July,7,2021,14,inside metro,7,221,,,,,,,,,,
July,7,2021,10,inspection,7,221,,,,,,,,,,
July,7,2021,10,inspections,7,221,,,,,,,,,,
July,7,2021,11,interactive maps,7,221,,,,,,,,,,
July,7,2021,9,IOD,7,221,,,,,,,,,,
July,7,2021,72,isupplier,7,221,,,,,,,,,,
July,7,2021,9,jail,7,227,,,,,,,,,,
July,7,2021,12,jim fyke,7,227,,,,,,,,,,
July,7,2021,16,Jimmy naun Murillo Rodriguez,7,227,,,,,,,,,,
July,7,2021,13,job,7,230,,,,,,,,,,
July,7,2021,8,job description,7,230,,,,,,,,,,
July,7,2021,13,job descriptions,7,230,,,,,,,,,,
July,7,2021,8,job openings,7,230,,,,,,,,,,
July,7,2021,164,jobs,7,230,,,,,,,,,,
July,7,2021,8,joey Hargis,7,235,,,,,,,,,,
